"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"2019-04-01",0.00335570469798658,0.00407478427612656,0.103547459252157,0.144295302013423,0.113374880153404,0.00383509108341323,0.225071907957814,0.024209012464046,0.0390699904122723,0.0354745925215724,0.25431447746884,0.0493767976989454
"2019-05-01",0.00520110957004161,0.00208044382801664,0.0769764216366158,0.120839112343967,0.0402219140083218,0.0079750346740638,0.109743411927878,0.00190707350901526,0.00520110957004161,0.0188973647711512,0.520631067961165,0.0903259361997226
"2019-06-01",0.02298283685145,0.00177549812586309,0.0652002367330834,0.156737028999803,0.0705267311106727,0.0554349970408365,0.223712763858749,0.00246596961925429,0.0243637798382324,0.0391595975537581,0.207338725586901,0.130301834681397
"2019-07-01",0.0177696381725486,0.00688016631193387,0.0975102707518685,0.222046230757808,0.0910260852348661,0.115032420927585,0.0819185269514429,0.00678117111320101,0.0375686779191209,0.0289065980299955,0.168984804236994,0.125575409592635
"2019-08-01",0.0126029238783398,0.00252058477566795,0.100235254579062,0.208704419425307,0.142833137287851,0.143757351705596,0.0841875315073097,0.00176440934296757,0.00764577381952613,0.0669635355402453,0.147958326331709,0.0808267518064191
"2019-09-01",0.0179141241672731,0.00139954095056821,0.0813413200470246,0.374013323629849,0.0745675418462744,0.105021552930639,0.109388120696412,0.00151150422661367,0.00369478810950008,0.0282707272014779,0.14034596652298,0.0625314896713878
"2019-10-01",0.0175763182238668,0.00393154486586494,0.0990595127967931,0.241828553808202,0.0547332716620413,0.11131668208449,0.219703977798335,0.0241288930003084,0.0564292321924144,0.0308356460067838,0.0909651557200123,0.0494912118408881
"2019-11-01",0.0143437907494055,0.0199432384751093,0.0876735445271151,0.200199432384751,0.0575285725243538,0.0474035437600675,0.191224975070952,0.0235483623533021,0.075937715732147,0.012963105008821,0.169517527038429,0.0997161923755465
"2019-12-01",0.0155769768091646,0.0224224643755239,0.0560910868957809,0.203478625314334,0.123218776194468,0.0803297010338083,0.136420787929589,0.0695026543727298,0.0338083263481419,0.0664291701592624,0.106733724504051,0.0859877060631461
"2020-01-01",0.0173386378481088,0.094590582506977,0.0832492132296182,0.173386378481088,0.0535003859628288,0.168339172258179,0.131464877382578,0.00956000237515587,0.0326583932070542,0.0214357817231756,0.144231340181699,0.0702452348435366
"2020-02-01",0.016915479366521,0.0478515070670375,0.0722029857523983,0.219674178350457,0.0431969120735653,0.0766872906851337,0.24868025202929,0.0212294942385196,0.0537548958392462,0.020945677470625,0.107963898507124,0.0708974286200829
"2020-03-01",0.0753831887852506,0.199912725685922,0.0757104674630448,0.122674957726504,0.0978563246604484,0.0505100092728959,0.0524736813396607,0.0312005672830415,0.0791468935798833,0.0639829815087547,0.106474663175694,0.0446735395189003
"2020-04-01",0.0857304918564136,0.315371525808281,0.0325338303216919,0.0640142614050725,0.0499149177538287,0.0212705615428247,0.0602058180050239,0.0245928206790374,0.127542338546309,0.0304675472003889,0.0752775301839397,0.113078356697188
"2020-05-01",0.0976800030984934,0.199504241062783,0.0271892792129827,0.0553081064332468,0.0450056160192107,0.00809481389674271,0.103915720980673,0.106084666330997,0.151129013517177,0.0169255199659166,0.0597621906348038,0.129400828846973
"2020-06-01",0.0291322830707677,0.2024256064016,0.0366966741685421,0.144598649662416,0.0823955988997249,0.0216929232308077,0.0670167541885471,0.107839459864966,0.084896224056014,0.0100650162540635,0.0952113028257064,0.118029507376844
"2020-07-01",0.0833594730238394,0.179030740276035,0.0528544542032622,0.127078105395232,0.123392409033877,0.0229767879548306,0.103670012547051,0.0646957340025094,0.100650878293601,0.0179971769134253,0.0433265370138018,0.0809676913425345
"2020-08-01",0.0606483887733888,0.178566787941788,0.044406185031185,0.107523388773389,0.103462837837838,0.0147154365904366,0.0855964137214137,0.0733822765072765,0.154235966735967,0.0337837837837838,0.0717255717255717,0.0719529625779626
"2020-09-01",0.0467460001138758,0.226328076069009,0.0599271195126117,0.116153276775038,0.136252348687582,0.0165973922450606,0.088680749302511,0.0288959744918294,0.0981039685702898,0.0426180037579001,0.0612936286511416,0.0784034618231509
"2020-10-01",0.103081907919524,0.248059678999322,0.0335317609825936,0.0860271770527215,0.105593650315224,0.0112274885087785,0.0635722000351644,0.0138397006003064,0.166704342802602,0.00637982568507774,0.0792203551603747,0.0827619119383116
"2020-11-01",0.102085735247878,0.213866471019809,0.0489204485902945,0.0768001257729798,0.179829158369144,0.0103500681270307,0.10538727596688,0.0295042448380673,0.0656901792264962,0.0186301226286553,0.0622838276910177,0.0866523425217482
"2020-12-01",0.0721379489174122,0.203241280954233,0.0306754829508622,0.0523013094775055,0.126721120186698,0.00876442370024634,0.0894593543368339,0.0956307532736938,0.132788798133022,0.0223259432127577,0.0663295734474264,0.099624011409309
"2021-01-01",0.121953896816685,0.0822996706915478,0.0334248079034029,0.0692371020856202,0.142700329308452,0.0142700329308452,0.0562843029637761,0.160236004390779,0.162349066959385,0.0149286498353458,0.0462129527991218,0.0961031833150384
"2021-02-01",0.0798907646474677,0.229791459781529,0.0197864945382324,0.0565044687189672,0.120630585898709,0.0284508440913605,0.0712760675273088,0.144538232373386,0.0746772591857001,0.00846573982125124,0.0793445878848064,0.086643495531281
"2021-03-01",0.0665936952714536,0.205013134851138,0.0232486865148862,0.0660026269702277,0.107005253940455,0.0310858143607706,0.0669439579684764,0.147416812609457,0.0864711033274956,0.0197241681260946,0.0657837127845884,0.114711033274956
"2021-04-01",0.0797277818473972,0.166142867270021,0.0573737564687256,0.036437533968194,0.123750561213639,0.0275762659798199,0.117417708357948,0.108131099506132,0.129020061910726,0.0198728703419268,0.044849831045157,0.089699662090314
"2021-05-01",0.0742710583153348,0.106722462203024,0.0690334773218143,0.0464362850971922,0.100350971922246,0.0436015118790497,0.0760259179265659,0.198380129589633,0.0447894168466523,0.0607451403887689,0.0889038876889849,0.0907397408207343
